oid,TableID,ParentTableID,ChildTableID,Name,UserName,ParentTableName,ParentTableUserName,ChildTableName,ChildTableUsername,Description,Namespace,DateCreated,DateModified,IsDeleted,Author
24a3c041-3796-43a0-ac41-006eb3d3d911,24a3c041-3796-43a0-ac41-006eb3d3d911,00000000-0000-0000-0000-000000000000,,SMProfileMarkingLapConnection2,,,,,,,UDP,Nov  5 2013  8:33PM,Nov  5 2013  8:33PM,False,INGRNET\sp3dadminuser1
3b6753ff-9088-448e-b217-007cf3e4f664,3b6753ff-9088-448e-b217-007cf3e4f664,00000000-0000-0000-0000-000000000000,,hsSmartShapeType,,,,,,,UDP,Aug 25 2011  9:58PM,Jul 23 2013  7:17PM,False,INGRNET\sp3dadminuser1
be56efb0-c585-4dea-bb01-00a79c5e38c6,be56efb0-c585-4dea-bb01-00a79c5e38c6,00000000-0000-0000-0000-000000000000,,WebFrameAtOffset_Direction_1Val,,,,,,,UDP,Nov  5 2013  8:18PM,Nov  5 2013  8:18PM,False,INGRNET\sp3dadminuser1
681a19d6-b95a-4bc4-8626-00a7c6a62a6f,681a19d6-b95a-4bc4-8626-00a7c6a62a6f,00000000-0000-0000-0000-000000000000,,Instrument Dimensional Group,,,,,,,EF,,,False,
1449f00c-db97-11d6-a551-00b0d021e10a,1449f00c-db97-11d6-a551-00b0d021e10a,1449ddf5-db97-11d6-a551-00b0d021e10a,1449f030-db97-11d6-a551-00b0d021e10a,InstrumentTypes2,,Instrument process function,,InstrumentTypes3,,,EF,,,False,
1449df17-db97-11d6-a551-00b0d021e10a,1449df17-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Steamout requirement,,,,,,,EF,,,False,
1449df19-db97-11d6-a551-00b0d021e10a,1449df19-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Design Responsibilities,,,,,,,EF,,,False,
1449df1b-db97-11d6-a551-00b0d021e10a,1449df1b-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,1449f1ec-db97-11d6-a551-00b0d021e10a,Piping component type,,,,PipingComponentTypes2,,,EF,,,False,
1449e021-db97-11d6-a551-00b0d021e10a,1449e021-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Flow direction,,,,,,,EF,,,False,
1449e023-db97-11d6-a551-00b0d021e10a,1449e023-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Piping connector type,,,,,,,EF,,,False,
1449f030-db97-11d6-a551-00b0d021e10a,1449f030-db97-11d6-a551-00b0d021e10a,1449f00c-db97-11d6-a551-00b0d021e10a,,InstrumentTypes3,,InstrumentTypes2,,,,,EF,,,False,
1449f235-db97-11d6-a551-00b0d021e10a,1449f235-db97-11d6-a551-00b0d021e10a,1449f1ec-db97-11d6-a551-00b0d021e10a,,PipingComponentTypes3,,PipingComponentTypes2,,,,,EF,,,False,
1449f53b-db97-11d6-a551-00b0d021e10a,1449f53b-db97-11d6-a551-00b0d021e10a,1449f588-db97-11d6-a551-00b0d021e10a,,PipingEndPreps3,,PipingEndPreps2,,,,,EF,,,False,
1449de49-db97-11d6-a551-00b0d021e10a,1449de49-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Insulation Thickness Sources,,,,,,,EF,,,False,
1449de4b-db97-11d6-a551-00b0d021e10a,1449de4b-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Insulation Composite Material,,,,,,,EF,,,False,
1449de51-db97-11d6-a551-00b0d021e10a,1449de51-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,1449f05b-db97-11d6-a551-00b0d021e10a,Insulation Purpose (Top-level),,,,InsulPurposes2,,,EF,,,False,
1449e057-db97-11d6-a551-00b0d021e10a,1449e057-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Material bulk-phase,,,,,,,EF,,,False,
1449f05b-db97-11d6-a551-00b0d021e10a,1449f05b-db97-11d6-a551-00b0d021e10a,1449de51-db97-11d6-a551-00b0d021e10a,1449f068-db97-11d6-a551-00b0d021e10a,InsulPurposes2,,Insulation Purpose (Top-level),,InsulPurposes3,,,EF,,,False,
1449e05d-db97-11d6-a551-00b0d021e10a,1449e05d-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Toxicity Classification,,,,,,,EF,,,False,
1449e063-db97-11d6-a551-00b0d021e10a,1449e063-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,1449f588-db97-11d6-a551-00b0d021e10a,Piping End Preparations,,,,PipingEndPreps2,,,EF,,,False,
1449f068-db97-11d6-a551-00b0d021e10a,1449f068-db97-11d6-a551-00b0d021e10a,1449f05b-db97-11d6-a551-00b0d021e10a,,InsulPurposes3,,InsulPurposes2,,,,,EF,,,False,
1449de73-db97-11d6-a551-00b0d021e10a,1449de73-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,1449f07f-db97-11d6-a551-00b0d021e10a,Schedule or Thickness Practices,,,,ScheduleThicknesses2,,,EF,,,False,
1449f07f-db97-11d6-a551-00b0d021e10a,1449f07f-db97-11d6-a551-00b0d021e10a,1449de73-db97-11d6-a551-00b0d021e10a,,ScheduleThicknesses2,,Schedule or Thickness Practices,,,,,EF,,,False,
1449f588-db97-11d6-a551-00b0d021e10a,1449f588-db97-11d6-a551-00b0d021e10a,1449e063-db97-11d6-a551-00b0d021e10a,1449f53b-db97-11d6-a551-00b0d021e10a,PipingEndPreps2,,Piping End Preparations,,PipingEndPreps3,,,EF,,,False,
1449e093-db97-11d6-a551-00b0d021e10a,1449e093-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,1449f59d-db97-11d6-a551-00b0d021e10a,Piping End Standards,,,,PipingEndStds2,,,EF,,,False,
1449dd99-db97-11d6-a551-00b0d021e10a,1449dd99-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,1449efa5-db97-11d6-a551-00b0d021e10a,Construction state,,,,ConstructStati2,,,EF,,,False,
1449de9b-db97-11d6-a551-00b0d021e10a,1449de9b-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,23e50dc7-57d2-4bfc-9417-6e9d54bc53c7,Fluid service category,,,,FluidServiceCategories2,,,EF,,,False,
1449de9d-db97-11d6-a551-00b0d021e10a,1449de9d-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Cleaning responsibility,,,,,,,EF,,,False,
1449f59d-db97-11d6-a551-00b0d021e10a,1449f59d-db97-11d6-a551-00b0d021e10a,1449e093-db97-11d6-a551-00b0d021e10a,,PipingEndStds2,,Piping End Standards,,,,,EF,,,False,
1449de9f-db97-11d6-a551-00b0d021e10a,1449de9f-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Cleaning Requirement,,,,,,,EF,,,False,
1449dda1-db97-11d6-a551-00b0d021e10a,1449dda1-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,1449efe5-db97-11d6-a551-00b0d021e10a,Document category,,,,DocTypes,,,EF,,,False,
1449dea1-db97-11d6-a551-00b0d021e10a,1449dea1-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Requisition responsibility,,,,,,,EF,,,False,
1449dea3-db97-11d6-a551-00b0d021e10a,1449dea3-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,37fdb9aa-613c-4c51-8226-d93b018025a2,Coating requirement,,,,CoatingReq2,,,EF,,,False,
1449dea5-db97-11d6-a551-00b0d021e10a,1449dea5-db97-11d6-a551-00b0d021e10a,00000000-0000-0000-0000-000000000000,,Supply responsibilities,,,,,,,EF,,,False,
1449efa5-db97-11d6-a551-00b0d021e10a,1449efa5-db97-11d6-a551-00b0d021e10a,1449dd99-db97-11d6-a551-00b0d021e10a,,ConstructStati2,,Construction state,,,,,EF,,,False,
