oid,TableID,ParentTableID,TableName,TableUserName,ParentTableName,ParentTableUserName,ValueID,ShortStringValue,LongStringValue,ParentValueID,SortIndex,Namespace,DateCreated,DateModified,IsDeleted,Author
C3625D32-8BAC-44BA-B228-0000408E10A9,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,8048,ASTM A675 Grade 60,ASTM A675 Grade 60,50,2269,REFDAT,Dec 18 2008  3:16PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
0D143E39-CC8C-4962-8BBB-00013A9E7EFB,1449F1EC-DB97-11D6-A551-00B0D021E10A,1449DF1B-DB97-11D6-A551-00B0D021E10A,PipingComponentTypes2,NULL,Piping component type,NULL,103,In-line rings with taps,In-line rings with taps,10,0,EF,NULL,NULL,0,NULL
63C8EFF1-71ED-45A5-835D-0002116A0FF0,01D524B8-8639-43C6-BD51-08A44800FF60,1427D53F-60A3-4048-877C-6B4C1A50FB18,EndPreparation,NULL,TerminationSubClass,NULL,917,FBE,Female bayonet end,40,137,CMNSCH,Dec 18 2008  3:12PM,Jul 23 2013  6:14PM,0,INGRNET\sp3dadminuser1
9058A174-87BA-4C0D-A675-0002E32EA0E9,CD227090-6A48-4349-A52C-12879176B087,00000000-0000-0000-0000-000000000000,HVACPartDataBasis,NULL,NULL,NULL,168,"Rectangular diffuser, with round neck, Type D","Rectangular diffuser, with round neck, Type D",-1,168,REFDAT,Dec 18 2008  3:15PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
1190C6F2-04B7-46D1-8DA0-0003B0B72901,1AD9016F-DED5-4029-8284-C6FB01985102,C2CA0796-60D8-4448-8A5E-E19887DBE276,EqTypes2,NULL,EqTypes1,NULL,1780,Vent silencer,Vent silencer,1770,0,EF,NULL,NULL,0,NULL
B5FAC6DD-BF4D-4D1A-9E71-0003DEEF8DA0,1449DFF1-DB97-11D6-A551-00B0D021E10A,00000000-0000-0000-0000-000000000000,Piping commodity option,NULL,NULL,NULL,2985,Table R,Table R,0,0,EF,NULL,NULL,0,NULL
9FB1C0B6-095D-44EA-8EF7-000446A4B66F,D7071295-F3DE-42E0-A221-11A4FA92C279,5906C85A-5CB2-4894-8968-FBB077BFDDFC,DrawingUserSelectedScales,NULL,DrawingScaleFamilies,NULL,3,FitToScale,Fit To Scale,3,-1,DRAWNG,NULL,NULL,0,NULL
1E95443C-A5A9-4396-9BCF-0005329990FB,B6C22B67-E71E-4143-AFAB-AD40DD0249F7,6DADDCC8-E730-42D4-8AE2-5E7036ED012F,MiscRequisitionClassification,NULL,MiscRequisitionComponentType,NULL,575,Threaded & coned,Threaded & coned,15,135,REFDAT,Dec 18 2008  3:20PM,Jul 23 2013  6:31PM,0,INGRNET\sp3dadminuser1
82DF8C70-3525-4CC8-A1C3-0005670011F4,55C42264-078A-4509-A29C-E411EED05C1A,66F9F5C7-76DF-4FD4-A3CF-057136181ECD,GeometricIndustryStandards2,NULL,Geometric Industry Standard,NULL,9372,IS 1363,"IS 1363, Hexagonal bolts, screws and nuts - Grade C",370,0,EF,NULL,NULL,0,NULL
0791402D-2CA0-4049-851B-00067A1EA7DD,1449F235-DB97-11D6-A551-00B0D021E10A,1449F1EC-DB97-11D6-A551-00B0D021E10A,PipingComponentTypes3,NULL,PipingComponentTypes2,NULL,7655,Double Tee,Double Tee,1050,0,EF,NULL,NULL,0,NULL
C318DA98-31D2-4F21-A4FD-00069CD2A783,1449F235-DB97-11D6-A551-00B0D021E10A,1449F1EC-DB97-11D6-A551-00B0D021E10A,PipingComponentTypes3,NULL,PipingComponentTypes2,NULL,9648,"Variable area flow instrument, rotometer with transmitter","Variable area flow instrument, rotometer with transmitter",136,0,EF,NULL,NULL,0,NULL
E13115DE-7C3D-4895-BFAB-00077A467330,1449F235-DB97-11D6-A551-00B0D021E10A,1449F1EC-DB97-11D6-A551-00B0D021E10A,PipingComponentTypes3,NULL,PipingComponentTypes2,NULL,3202,"Flow switch, low","Flow switch, low",560,0,EF,NULL,NULL,0,NULL
A3A63582-027B-448B-8B27-00080E7A01B0,9DCC7D3A-B7EB-43A9-8032-CAF751652C71,869850BC-BEEE-4C0D-AF39-D360CD161C67,EqTypes4,NULL,EqTypes3,NULL,4050,Bucket Wheel Stacker Reclaimer,Bucket Wheel Stacker Reclaimer,4020,4050,EF,NULL,NULL,0,NULL
288A1BB5-DCFD-402F-AFB4-0008526EDBF7,1449F2E9-DB97-11D6-A551-00B0D021E10A,1449DFF1-DB97-11D6-A551-00B0D021E10A,PipingCommodOptions2,NULL,Piping commodity option,NULL,836,SCH 40,SCH 40,70,0,EF,NULL,NULL,0,NULL
35CF33D8-DA21-484A-A23C-000AD5DF3B87,55C42264-078A-4509-A29C-E411EED05C1A,66F9F5C7-76DF-4FD4-A3CF-057136181ECD,GeometricIndustryStandards2,NULL,Geometric Industry Standard,NULL,276,ASTM F1793,"ASTM F1793, Standard Specification for Automatic Shut-Off Valves (Also Known as Excess Flow Valves, EFV) for Air Or Nitrogen Service",5,0,EF,NULL,NULL,0,NULL
06002BE4-8CD5-41A3-96CF-000BEAF969B9,EA399695-642C-4A87-ACA8-665100DBC7BA,00000000-0000-0000-0000-000000000000,CSByPointsAndAngle_AxesRolesVal,,NULL,NULL,1,AxesRolesValue1,"(x,y)",-1,1,UDP,Aug 25 2011 10:23PM,Aug 25 2011 10:23PM,0,INGRNET\sp3dadminuser1
AEDC23AE-20C9-461D-AEC3-000BFFE7A097,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,60256,"SUS890LTP, JIS G 3459","SUS890LTP, JIS G 3459",88,4103,REFDAT,Dec 18 2008  3:19PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
82F9D246-E169-4EC9-91A5-000D5F3D4DD5,1449DEA3-DB97-11D6-A551-00B0D021E10A,00000000-0000-0000-0000-000000000000,Coating requirement,NULL,NULL,NULL,1,Undefined,Undefined,0,0,EF,NULL,NULL,0,NULL
7F7AFC0A-D634-4356-A416-000D8B5248F8,C1479A07-F057-4DD0-8061-AE174ECE337F,D1271529-EE95-4B54-B6F3-BD249A4C9740,MaterialsGrade,NULL,MaterialsCategory,NULL,7718,ASTM B547-1100 temper O,ASTM B547-1100 temper O,35,1751,REFDAT,Dec 18 2008  3:16PM,Jul 23 2013  6:19PM,0,INGRNET\sp3dadminuser1
ADB9ACF8-A55B-44C1-B061-000EE3C526BE,8A3796D4-3A7B-4636-812D-F6D860CFA9AC,291AD1AC-F5EB-4170-A9D3-49EB861EC0DC,GeometricIndustryStandard,NULL,GeometricIndustryPractice,NULL,40205,ASTM F2769,"ASTM F2769, Standard Specification for Polyethylene of Raised Temperature (PE-RT) Plastic Hot and Cold-Water Tubing and Distribution Systems",5,1969,REFDAT,Oct 24 2014  4:36PM,Oct 24 2014  4:36PM,0,INGRNET\sp3dadminuser1
